Cluster_norm,Cluster
Cluster-37961.5,Cluster_37961_5.p1
Cluster-37961.6,Cluster_37961_6.p1
Cluster-37961.6,Cluster_37961_6.p2
Cluster-37961.6,Cluster_37961_6.p3
Cluster-37961.7,Cluster_37961_7.p1
Cluster-37961.7,Cluster_37961_7.p2
Cluster-37961.7,Cluster_37961_7.p3
Cluster-54940.1,Cluster_54940_1.p1
Cluster-52872.0,Cluster_52872_0.p1
Cluster-44756.0,Cluster_44756_0.p1
Cluster-41812.2,Cluster_41812_2.p1
Cluster-41812.2,Cluster_41812_2.p2
Cluster-41812.2,Cluster_41812_2.p3
Cluster-33575.5,Cluster_33575_5.p1
Cluster-33575.5,Cluster_33575_5.p2
Cluster-33575.4,Cluster_33575_4.p1
Cluster-33575.3,Cluster_33575_3.p1
